id,region,price,requests,pledge,weight,sender,senderImg,themeColor,themeColorHex,bgImgUrl,rating,ratingCount,fromStreet,fromCity,toStreet,toCity,delivTime,delivDate,delivDateNoun,reqDl,fromLat,fromLng,toLat,toLng
2618-3200,Occitanie,25,8,150,50,Camille Martin,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,purple,#BA68C8,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-1.jpg,5,26,Place de la Comédie,34000 Montpellier,Place de Lisbonne,34000 Montpellier,,,Today,24 minutes,43.6085,3.88,43.604,3.919
2618-3199,Occitanie,37,8,222,66,Lucas Bernard,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,green,#52A43A,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-2.jpg,4,21,Place Auguste Gibert,34000 Montpellier,Avenue de l'Europe,34170 Castelnau-le-Lez,,,Today,24 minutes,43.6045,3.8806,43.632,3.901
2618-3198,Occitanie,89,21,480,310,Chloé Dubois,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,orange,#F7AA17,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-3.jpg,5,34,Place du Nombre d'Or,34000 Montpellier,Quai de Bosc,34200 Sète,,,Today,24 minutes,43.6082,3.887,43.404,3.696
2618-3197,Occitanie,13,11,231,55,Inès Fontaine,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,red,#EF5350,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-4.jpg,4,41,Place du Capitole,31000 Toulouse,Avenue de Grande-Bretagne,31300 Toulouse,,,Today,24 minutes,43.6045,1.444,43.6,1.415
2618-3196,Occitanie,19,4,95,30,Jules Blanc,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,purple,#BA68C8,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-5.jpg,4,17,Boulevard Victor Hugo,30000 Nîmes,Avenue Jean Jaurès,30900 Nîmes,,,Today,24 minutes,43.837,4.357,43.829,4.35
2618-3195,Île-de-France,12,3,80,20,Hugo Moreau,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,green,#52A43A,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-6.jpg,5,15,Rue de Rivoli,75001 Paris,Avenue de France,75013 Paris,,,Today,24 minutes,48.8606,2.3376,48.83,2.377
2618-3194,Île-de-France,55,14,340,120,Emma Petit,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,orange,#F7AA17,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-7.jpg,5,52,Boulevard Haussmann,75009 Paris,Parvis de la Défense,92800 Puteaux,,,Today,24 minutes,48.8738,2.332,48.892,2.238
2618-3193,Île-de-France,22,6,130,45,Louis Durand,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,red,#EF5350,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-8.jpg,3,11,Rue du Faubourg Saint-Antoine,75011 Paris,Avenue de Paris,94300 Vincennes,,,Today,24 minutes,48.8515,2.377,48.847,2.438
2618-3192,Auvergne-Rhône-Alpes,80,25,550,250,Léa Laurent,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,purple,#BA68C8,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-1.jpg,5,66,Place Bellecour,69002 Lyon,Rue de la Villette,69003 Lyon,,,Today,24 minutes,45.7578,4.832,45.7605,4.8595
2618-3191,Auvergne-Rhône-Alpes,34,8,190,70,Gabriel Simon,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,green,#52A43A,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-2.jpg,4,24,Place des Terreaux,69001 Lyon,Cours Émile Zola,69100 Villeurbanne,,,Today,24 minutes,45.7675,4.8335,45.77,4.88
2618-3190,Auvergne-Rhône-Alpes,41,10,245,88,Alice Michel,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,orange,#F7AA17,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-3.jpg,5,29,Place Grenette,38000 Grenoble,Avenue Gabriel Péri,38400 Saint-Martin-d'Hères,,,Today,24 minutes,45.1905,5.727,45.178,5.758
2618-3189,Provence-Alpes-Côte d'Azur,49,17,299,149,Mathis Girard,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-sender.jpg,red,#EF5350,https://s3-us-west-2.amazonaws.com/s.cdpn.io/142996/deliv-4.jpg,4,28,Quai du Port,13002 Marseille,Avenue du Prado,13008 Marseille,,,Today,24 minutes,43.2965,5.3698,43.272,5.389
